task_id,mode,classification,stop_reason,discovery_nanos,successful_search_rerun_nanos
sf.lean.VFA.02-SortCaseStudy.theorem.CaseStudies.SF.VFA.SortCaseStudy.insertion_sort_correct.prove,search,closed,other_or_unreported,10330891,10415374
sf.lean.VFA.02-SortCaseStudy.theorem.CaseStudies.SF.VFA.SortCaseStudy.nth_error_insert.prove,committed,completed_discovery_failure,ambient_resource_limit,23143740267,
sf.lean.VFA.02-SortCaseStudy.theorem.CaseStudies.SF.VFA.SortCaseStudy.nth_error_insert.prove,search,completed_discovery_failure,ambient_resource_limit,22106048365,
sf.lean.VFA.02-SortCaseStudy.theorem.CaseStudies.SF.VFA.SortCaseStudy.nth_insert.prove,committed,closed,other_or_unreported,1081996857,1072592662
sf.lean.VFA.02-SortCaseStudy.theorem.CaseStudies.SF.VFA.SortCaseStudy.nth_insert.prove,search,closed,other_or_unreported,1091758859,1134333927
sf.lean.VFA.02-SortCaseStudy.theorem.CaseStudies.SF.VFA.SortCaseStudy.sort_perm.prove,committed,completed_discovery_failure,ambient_resource_limit,18036150729,
sf.lean.VFA.02-SortCaseStudy.theorem.CaseStudies.SF.VFA.SortCaseStudy.sort_perm.prove,search,completed_discovery_failure,ambient_resource_limit,18074942271,
sf.lean.VFA.02-SortCaseStudy.theorem.CaseStudies.SF.VFA.SortCaseStudy.sort_pi.prove,committed,closed,other_or_unreported,8155232,8044530
sf.lean.VFA.02-SortCaseStudy.theorem.CaseStudies.SF.VFA.SortCaseStudy.sort_pi.prove,search,closed,other_or_unreported,7927802,7507266
sf.lean.VFA.02-SortCaseStudy.theorem.CaseStudies.SF.VFA.SortCaseStudy.sort_sorted''.prove,committed,closed,other_or_unreported,480673216,477139975
sf.lean.VFA.02-SortCaseStudy.theorem.CaseStudies.SF.VFA.SortCaseStudy.sort_sorted''.prove,search,closed,other_or_unreported,484070558,495866772
sf.lean.VFA.02-SortCaseStudy.theorem.CaseStudies.SF.VFA.SortCaseStudy.sort_sorted'.prove,committed,closed,other_or_unreported,116818189,119624727
sf.lean.VFA.02-SortCaseStudy.theorem.CaseStudies.SF.VFA.SortCaseStudy.sort_sorted'.prove,search,closed,other_or_unreported,116069774,119563606
sf.lean.VFA.02-SortCaseStudy.theorem.CaseStudies.SF.VFA.SortCaseStudy.sort_sorted.prove,committed,closed,other_or_unreported,4374833568,4427793352
sf.lean.VFA.02-SortCaseStudy.theorem.CaseStudies.SF.VFA.SortCaseStudy.sort_sorted.prove,search,closed,other_or_unreported,2835389018,2761864319
sf.lean.VFA.02-SortCaseStudy.theorem.CaseStudies.SF.VFA.SortCaseStudy.sorted''_sorted.prove,committed,closed,other_or_unreported,2915658637,3059296772
sf.lean.VFA.02-SortCaseStudy.theorem.CaseStudies.SF.VFA.SortCaseStudy.sorted''_sorted.prove,search,closed,other_or_unreported,11844841891,12097438265
sf.lean.VFA.02-SortCaseStudy.theorem.CaseStudies.SF.VFA.SortCaseStudy.sorted'_sorted.prove,committed,completed_discovery_failure,ambient_resource_limit,18952188892,
sf.lean.VFA.02-SortCaseStudy.theorem.CaseStudies.SF.VFA.SortCaseStudy.sorted'_sorted.prove,search,completed_discovery_failure,ambient_resource_limit,17899793662,
sf.lean.VFA.02-SortCaseStudy.theorem.CaseStudies.SF.VFA.SortCaseStudy.sorted_sorted''.prove,committed,completed_discovery_failure,ambient_resource_limit,22024869286,
sf.lean.VFA.02-SortCaseStudy.theorem.CaseStudies.SF.VFA.SortCaseStudy.sorted_sorted''.prove,search,closed,other_or_unreported,17731261389,19463062559
sf.lean.VFA.02-SortCaseStudy.theorem.CaseStudies.SF.VFA.SortCaseStudy.sorted_sorted'.prove,committed,completed_discovery_failure,ambient_resource_limit,19885344948,
sf.lean.VFA.02-SortCaseStudy.theorem.CaseStudies.SF.VFA.SortCaseStudy.sorted_sorted'.prove,search,completed_discovery_failure,ambient_resource_limit,19948860448,
sf.lean.VFA.03-MultisetCaseStudy.theorem.CaseStudies.SF.VFA.MultisetCaseStudy.contents_cons_inv.prove,committed,completed_discovery_failure,ambient_resource_limit,20600070400,
sf.lean.VFA.03-MultisetCaseStudy.theorem.CaseStudies.SF.VFA.MultisetCaseStudy.contents_cons_inv.prove,search,completed_discovery_failure,ambient_resource_limit,23649836020,
sf.lean.VFA.03-MultisetCaseStudy.theorem.CaseStudies.SF.VFA.MultisetCaseStudy.contents_in.prove,committed,completed_discovery_failure,ambient_resource_limit,22577483281,
sf.lean.VFA.03-MultisetCaseStudy.theorem.CaseStudies.SF.VFA.MultisetCaseStudy.contents_in.prove,search,completed_discovery_failure,ambient_resource_limit,23367189081,
sf.lean.VFA.03-MultisetCaseStudy.theorem.CaseStudies.SF.VFA.MultisetCaseStudy.contents_insert_other.prove,committed,completed_discovery_failure,ambient_resource_limit,21213095439,
sf.lean.VFA.03-MultisetCaseStudy.theorem.CaseStudies.SF.VFA.MultisetCaseStudy.contents_insert_other.prove,search,completed_discovery_failure,ambient_resource_limit,16694274916,
sf.lean.VFA.03-MultisetCaseStudy.theorem.CaseStudies.SF.VFA.MultisetCaseStudy.contents_nil_inv.prove,committed,completed_discovery_failure,ambient_resource_limit,20624241706,
sf.lean.VFA.03-MultisetCaseStudy.theorem.CaseStudies.SF.VFA.MultisetCaseStudy.contents_nil_inv.prove,search,completed_discovery_failure,ambient_resource_limit,23238922119,
sf.lean.VFA.03-MultisetCaseStudy.theorem.CaseStudies.SF.VFA.MultisetCaseStudy.contents_perm'.prove,committed,closed,other_or_unreported,1685509337,1636672412
sf.lean.VFA.03-MultisetCaseStudy.theorem.CaseStudies.SF.VFA.MultisetCaseStudy.contents_perm'.prove,search,closed,other_or_unreported,1565470269,1480092227
sf.lean.VFA.03-MultisetCaseStudy.theorem.CaseStudies.SF.VFA.MultisetCaseStudy.contents_perm.prove,committed,completed_discovery_failure,ambient_resource_limit,22913137634,
sf.lean.VFA.03-MultisetCaseStudy.theorem.CaseStudies.SF.VFA.MultisetCaseStudy.contents_perm.prove,search,completed_discovery_failure,ambient_resource_limit,24802509321,
sf.lean.VFA.03-MultisetCaseStudy.theorem.CaseStudies.SF.VFA.MultisetCaseStudy.contents_perm_aux.prove,committed,completed_discovery_failure,ambient_resource_limit,24644152258,
sf.lean.VFA.03-MultisetCaseStudy.theorem.CaseStudies.SF.VFA.MultisetCaseStudy.contents_perm_aux.prove,search,completed_discovery_failure,ambient_resource_limit,26929583308,
sf.lean.VFA.03-MultisetCaseStudy.theorem.CaseStudies.SF.VFA.MultisetCaseStudy.delete_contents.prove,committed,completed_discovery_failure,ambient_resource_limit,22529979780,
sf.lean.VFA.03-MultisetCaseStudy.theorem.CaseStudies.SF.VFA.MultisetCaseStudy.delete_contents.prove,search,completed_discovery_failure,ambient_resource_limit,23949174987,
sf.lean.VFA.03-MultisetCaseStudy.theorem.CaseStudies.SF.VFA.MultisetCaseStudy.in_perm_delete.prove,committed,completed_discovery_failure,ambient_resource_limit,22132188335,
